dataset,method,random_state_value,min_support,max_depth,duration,train_acc,test_acc,reconstructed_dataset_entropy,no_knowledge_dataset_entropy,n_elementary_tokens,n_branches_rules,entropy_reduction_ratio,average_tokens_per_examples,n_elementary_tokens_path,leaves_support,sorted_leaves_single_example_entropy_list
compas,DL8.5,0,0.02,1,0.6751173881348222,0.6340322301160978,0.6243936243936244,150046.0,155817.0,1,2,0.9629629629629629,1.0,2,"[1844, 3927]","[26.0, 26.0]"
compas,DL8.5,0,0.02,2,0.13792061596177518,0.663143302720499,0.6576576576576577,144275.0,155817.0,3,4,0.9259259259259259,2.0,8,"[869, 2444, 811, 1647]","[25.0, 25.0, 25.0, 25.0]"
compas,DL8.5,0,0.02,3,0.27736273501068354,0.6731935539767805,0.6846846846846847,138504.0,155817.0,7,8,0.8888888888888888,3.0,24,"[559, 116, 246, 566, 1050, 1609, 411, 1214]","[24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0]"
compas,DL8.5,0,0.02,4,1.1625412369612604,0.6790850805752903,0.6798336798336798,134554.0,155817.0,12,13,0.8635386382743859,3.6844567665915786,49,"[209, 117, 361, 1176, 122, 238, 259, 1009, 436, 431, 169, 229, 1015]","[24.0, 23.0, 23.0, 24.0, 23.0, 23.0, 23.0, 23.0, 24.0, 23.0, 23.0, 23.0, 23.0]"
compas,DL8.5,0,0.02,5,7.065823952900246,0.6832438052330618,0.6756756756756757,128683.0,155817.0,21,22,0.8258598227407793,4.70178478599896,102,"[130, 141, 197, 219, 174, 141, 364, 639, 218, 324, 271, 266, 236, 256, 191, 155, 438, 259, 347, 205, 229, 371]","[23.0, 22.0, 22.0, 24.0, 24.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 23.0, 23.0, 23.0]"
compas,DL8.5,0,0.02,6,21.294992855051532,0.6849766071738,0.6645876645876646,125421.0,155817.0,25,26,0.8049250081826759,5.267024779067753,137,"[268, 133, 556, 142, 140, 122, 115, 215, 167, 365, 153, 393, 170, 147, 243, 182, 177, 170, 228, 336, 546, 125, 147, 136, 207, 188]","[25.0, 23.0, 23.0, 22.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 22.0, 21.0, 21.0, 23.0, 24.0, 22.0, 22.0, 23.0]"
compas,DL8.5,0,0.02,7,64.9853581909556,0.6856697279500953,0.6625086625086625,123759.0,155817.0,29,30,0.7942586495696875,5.555016461618437,170,"[268, 133, 556, 121, 131, 240, 115, 215, 150, 294, 259, 176, 136, 229, 134, 225, 118, 162, 128, 127, 187, 157, 124, 133, 145, 284, 158, 129, 154, 383]","[25.0, 23.0, 23.0, 23.0, 21.0, 21.0, 20.0, 20.0, 20.0, 20.0, 22.0, 22.0, 23.0, 24.0, 22.0, 21.0, 21.0, 22.0, 22.0, 21.0, 20.0, 20.0, 21.0, 21.0, 21.0, 21.0, 20.0, 20.0, 20.0, 20.0]"
compas,DL8.5,0,0.02,8,116.43115307600237,0.6868826893086121,0.6645876645876646,118764.0,155817.0,30,31,0.7622018136660313,6.420551031017155,201,"[179, 125, 556, 118, 130, 240, 115, 207, 129, 294, 226, 193, 176, 117, 218, 134, 225, 118, 162, 128, 127, 187, 157, 124, 133, 145, 284, 158, 129, 154, 383]","[26.0, 22.0, 22.0, 22.0, 20.0, 20.0, 19.0, 19.0, 19.0, 19.0, 24.0, 21.0, 21.0, 22.0, 23.0, 21.0, 20.0, 20.0, 21.0, 21.0, 20.0, 19.0, 19.0, 20.0, 20.0, 20.0, 20.0, 19.0, 19.0, 19.0, 19.0]"
compas,DL8.5,0,0.02,9,199.41933302185498,0.6868826893086121,0.6611226611226612,118202.0,155817.0,26,27,0.7585950185153096,6.51793450008664,179,"[179, 182, 136, 377, 272, 154, 329, 169, 125, 556, 118, 130, 240, 115, 207, 129, 294, 226, 218, 195, 129, 119, 236, 371, 256, 155, 154]","[26.0, 24.0, 23.0, 22.0, 21.0, 19.0, 19.0, 20.0, 21.0, 21.0, 21.0, 19.0, 19.0, 18.0, 18.0, 18.0, 18.0, 23.0, 23.0, 18.0, 18.0, 19.0, 20.0, 21.0, 20.0, 20.0, 21.0]"
compas,DL8.5,0,0.02,10,278.96356605691835,0.6868826893086121,0.6611226611226612,117607.0,155817.0,28,29,0.7547764364607199,6.6210362155605615,200,"[179, 182, 136, 377, 272, 154, 212, 117, 169, 125, 556, 118, 130, 240, 139, 133, 207, 129, 137, 226, 218, 195, 129, 119, 236, 371, 256, 155, 154]","[26.0, 24.0, 23.0, 22.0, 21.0, 19.0, 18.0, 18.0, 20.0, 21.0, 21.0, 21.0, 19.0, 19.0, 18.0, 18.0, 18.0, 17.0, 17.0, 23.0, 23.0, 18.0, 18.0, 19.0, 20.0, 21.0, 20.0, 20.0, 21.0]"
compas,DL8.5,0,0.03,1,0.09127837489359081,0.6340322301160978,0.6243936243936244,150046.0,155817.0,1,2,0.9629629629629629,1.0,2,"[1844, 3927]","[26.0, 26.0]"
compas,DL8.5,0,0.03,2,0.12430991209112108,0.663143302720499,0.6576576576576577,144275.0,155817.0,3,4,0.9259259259259259,2.0,8,"[869, 2444, 811, 1647]","[25.0, 25.0, 25.0, 25.0]"
compas,DL8.5,0,0.03,3,0.28770987899042666,0.6711141916478947,0.6826056826056826,138683.0,155817.0,6,7,0.8900376723977487,2.9689828452607867,20,"[179, 486, 822, 1050, 1609, 411, 1214]","[25.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0]"
compas,DL8.5,0,0.03,4,2.2501843119971454,0.6785652399930688,0.6777546777546778,133393.0,155817.0,13,14,0.8560875899292119,3.8856350719112807,54,"[324, 532, 236, 596, 339, 272, 393, 520, 259, 414, 220, 440, 487, 739]","[23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 24.0, 24.0, 23.0, 23.0]"
compas,DL8.5,0,0.03,5,6.022876585135236,0.6811644429041761,0.6756756756756757,129875.0,155817.0,19,20,0.83350982241989,4.49523479466297,90,"[454, 269, 213, 266, 355, 211, 277, 178, 324, 271, 266, 236, 411, 191, 438, 259, 347, 205, 229, 371]","[23.0, 22.0, 22.0, 24.0, 23.0, 22.0, 22.0, 24.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 22.0, 22.0, 23.0, 23.0, 23.0]"
compas,DL8.5,0,0.03,6,16.056511159054935,0.6820308438745452,0.6735966735966736,127125.0,155817.0,19,20,0.8158609137642234,4.971755328365968,98,"[179, 218, 233, 319, 332, 206, 174, 307, 323, 218, 514, 324, 271, 266, 236, 240, 371, 411, 322, 307]","[25.0, 24.0, 22.0, 21.0, 21.0, 23.0, 24.0, 22.0, 21.0, 21.0, 23.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 23.0, 22.0, 22.0]"
