dataset,method,random_state_value,min_support,max_depth,duration,train_acc,test_acc,reconstructed_dataset_entropy,no_knowledge_dataset_entropy,n_elementary_tokens,n_branches_rules,entropy_reduction_ratio,average_tokens_per_examples,n_elementary_tokens_path,leaves_support,sorted_leaves_single_example_entropy_list
compas,sklearn_DT,0,0.02,1,0.0029164429288357496,0.6340322301160978,0.6243936243936244,150046.0,155817.0,1,2,0.9629629629629629,1.0,2,"[3927.0, 1844.0]","[26.0, 26.0]"
compas,sklearn_DT,0,0.02,2,0.004336277022957802,0.6340322301160978,0.6243936243936244,144275.0,155817.0,3,4,0.9259259259259259,2.0,8,"[1858.0, 2069.0, 600.0, 1244.0]","[25.0, 25.0, 25.0, 25.0]"
compas,sklearn_DT,0,0.02,3,0.005660573951900005,0.663143302720499,0.6576576576576577,138504.0,155817.0,7,8,0.8888888888888888,3.0,24,"[1047.0, 811.0, 893.0, 1176.0, 227.0, 373.0, 375.0, 869.0]","[24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0]"
compas,sklearn_DT,0,0.02,4,0.005659752991050482,0.6704210708715994,0.6826056826056826,132960.0,155817.0,14,15,0.8533086890390651,3.9606653959452434,59,"[737.0, 310.0, 486.0, 325.0, 436.0, 457.0, 564.0, 612.0, 227.0, 249.0, 124.0, 154.0, 221.0, 200.0, 669.0]","[23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0]"
compas,sklearn_DT,0,0.02,5,0.00647176499478519,0.6747530757234448,0.683991683991684,128364.0,155817.0,23,24,0.8238125493367219,4.757061167908508,113,"[305.0, 432.0, 137.0, 173.0, 139.0, 347.0, 145.0, 180.0, 250.0, 186.0, 268.0, 189.0, 130.0, 434.0, 295.0, 317.0, 227.0, 249.0, 124.0, 154.0, 221.0, 200.0, 375.0, 294.0]","[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 22.0, 22.0]"
compas,sklearn_DT,0,0.02,6,0.007669277023524046,0.6747530757234448,0.683991683991684,125610.0,155817.0,31,32,0.8061379695411925,5.2342748223878015,169,"[169.0, 136.0, 191.0, 241.0, 137.0, 173.0, 139.0, 199.0, 148.0, 145.0, 180.0, 130.0, 271.0, 163.0, 295.0, 186.0, 131.0, 132.0, 118.0, 186.0, 268.0, 189.0, 227.0, 249.0, 124.0, 154.0, 221.0, 200.0, 131.0, 244.0, 124.0, 170.0]","[21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0]"
compas,sklearn_DT,0,0.02,7,0.006448348052799702,0.6747530757234448,0.683991683991684,125610.0,155817.0,31,32,0.8061379695411925,5.2342748223878015,169,"[169.0, 136.0, 191.0, 241.0, 137.0, 173.0, 139.0, 199.0, 148.0, 145.0, 180.0, 130.0, 271.0, 163.0, 295.0, 186.0, 131.0, 132.0, 118.0, 186.0, 268.0, 189.0, 227.0, 249.0, 124.0, 154.0, 221.0, 200.0, 131.0, 244.0, 124.0, 170.0]","[21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0]"
compas,sklearn_DT,0,0.02,8,0.007894810056313872,0.6747530757234448,0.683991683991684,125610.0,155817.0,31,32,0.8061379695411925,5.2342748223878015,169,"[169.0, 136.0, 191.0, 241.0, 137.0, 173.0, 139.0, 199.0, 148.0, 145.0, 180.0, 130.0, 271.0, 163.0, 295.0, 186.0, 131.0, 132.0, 118.0, 186.0, 268.0, 189.0, 227.0, 249.0, 124.0, 154.0, 221.0, 200.0, 131.0, 244.0, 124.0, 170.0]","[21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0]"
compas,sklearn_DT,0,0.02,9,0.006628463044762611,0.6747530757234448,0.683991683991684,125610.0,155817.0,31,32,0.8061379695411925,5.2342748223878015,169,"[169.0, 136.0, 191.0, 241.0, 137.0, 173.0, 139.0, 199.0, 148.0, 145.0, 180.0, 130.0, 271.0, 163.0, 295.0, 186.0, 131.0, 132.0, 118.0, 186.0, 268.0, 189.0, 227.0, 249.0, 124.0, 154.0, 221.0, 200.0, 131.0, 244.0, 124.0, 170.0]","[21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0]"
compas,sklearn_DT,0,0.02,10,0.006618819897994399,0.6747530757234448,0.683991683991684,125610.0,155817.0,31,32,0.8061379695411925,5.2342748223878015,169,"[169.0, 136.0, 191.0, 241.0, 137.0, 173.0, 139.0, 199.0, 148.0, 145.0, 180.0, 130.0, 271.0, 163.0, 295.0, 186.0, 131.0, 132.0, 118.0, 186.0, 268.0, 189.0, 227.0, 249.0, 124.0, 154.0, 221.0, 200.0, 131.0, 244.0, 124.0, 170.0]","[21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 22.0, 22.0, 21.0, 21.0, 22.0, 21.0, 21.0, 21.0, 21.0, 22.0, 22.0, 22.0, 24.0, 23.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0]"
